Reaction,Dataset,Reference,Stoichiometry,Total_Charge
BH76_3,BH46,0.067090671,"-1,BH76_H,-1,BH76_HF,1,BH76_hfhts",0.0
BH76_7,BH46,0.048604881,"-1,BH76_H,-1,BH76_ch3f,1,BH76_hfch3ts",0.0
BH76_8,BH46,0.09067599,"-1,BH76_HF,-1,BH76_CH3,1,BH76_hfch3ts",0.0
BH76_9,BH46,0.002390404,"-1,BH76_H,-1,BH76_f2,1,BH76_hf2ts",0.0
BH76_10,BH46,0.167009557,"-1,BH76_HF,-1,BH76_F,1,BH76_hf2ts",0.0
BH76_31,BH46,0.005099528,"-1,BH76_H,-1,BH76_co,1,BH76_hcots",0.0
BH76_32,BH46,0.03633414,"-1,BH76_hco,1,BH76_hcots",0.0
BH76_35,BH46,0.010199057,"-1,BH76_CH3,-1,BH76_c2h4,1,BH76_c3h7ts",0.0
BH76_36,BH46,0.052588887,"-1,BH76_c3h7,1,BH76_c3h7ts",0.0
BH76_39,BH46,0.009720976,"-1,BH76_H,-1,BH76_HCl,1,BH76_RKT01",0.0
BH76_40,BH46,0.012748821,"-1,BH76_H2,-1,BH76_Cl,1,BH76_RKT01",0.0
BH76_41,BH46,0.008286734,"-1,BH76_OH,-1,BH76_H2,1,BH76_RKT02",0.0
BH76_42,BH46,0.034421817,"-1,BH76_H2O,-1,BH76_H,1,BH76_RKT02",0.0
BH76_43,BH46,0.018963871,"-1,BH76_CH3,-1,BH76_H2,1,BH76_RKT03",0.0
BH76_44,BH46,0.02390404,"-1,BH76_CH4,-1,BH76_H,1,BH76_RKT03",0.0
BH76_47,BH46,0.015457946,"-1,BH76_H,-1,BH76_H2,1,BH76_RKT06",0.0
BH76_49,BH46,0.005418249,"-1,BH76_OH,-1,BH76_NH3,1,BH76_RKT07",0.0
BH76_50,BH46,0.021832356,"-1,BH76_H2O,-1,BH76_NH2,1,BH76_RKT07",0.0
BH76_51,BH46,0.002868485,"-1,BH76_HCl,-1,BH76_CH3,1,BH76_RKT08",0.0
BH76_52,BH46,0.010836498,"-1,BH76_Cl,-1,BH76_CH4,1,BH76_RKT08",0.0
BH76_53,BH46,0.005577609,"-1,BH76_OH,-1,BH76_C2H6,1,BH76_RKT09",0.0
BH76_54,BH46,0.032509494,"-1,BH76_H2O,-1,BH76_C2H5,1,BH76_RKT09",0.0
BH76_55,BH46,0.002549764,"-1,BH76_F,-1,BH76_H2,1,BH76_RKT10",0.0
BH76_56,BH46,0.053863769,"-1,BH76_HF,-1,BH76_H,1,BH76_RKT10",0.0
BH76_57,BH46,0.022947878,"-1,BH76_O,-1,BH76_CH4,1,BH76_RKT11",0.0
BH76_58,BH46,0.014183064,"-1,BH76_OH,-1,BH76_CH3,1,BH76_RKT11",0.0
BH76_59,BH46,0.004621448,"-1,BH76_H,-1,BH76_PH3,1,BH76_RKT12",0.0
BH76_60,BH46,0.039361985,"-1,BH76_H2,-1,BH76_PH2,1,BH76_RKT12",0.0
BH76_65,BH46,0.016573467,"-1,BH76_O,-1,BH76_HCl,1,BH76_RKT17",0.0
BH76_66,BH46,0.015776666,"-1,BH76_OH,-1,BH76_Cl,1,BH76_RKT17",0.0
BH76_67,BH46,0.014183064,"-1,BH76_NH2,-1,BH76_CH3,1,BH76_RKT18",0.0
BH76_68,BH46,0.035059258,"-1,BH76_NH,-1,BH76_CH4,1,BH76_RKT18",0.0
BH76_69,BH46,0.015617306,"-1,BH76_NH2,-1,BH76_C2H5,1,BH76_RKT19",0.0
BH76_70,BH46,0.030915891,"-1,BH76_NH,-1,BH76_C2H6,1,BH76_RKT19",0.0
BH76_71,BH46,0.01800771,"-1,BH76_C2H6,-1,BH76_NH2,1,BH76_RKT20",0.0
BH76_72,BH46,0.028366127,"-1,BH76_C2H5,-1,BH76_NH3,1,BH76_RKT20",0.0
BH76_73,BH46,0.022151077,"-1,BH76_NH2,-1,BH76_CH4,1,BH76_RKT21",0.0
BH76_74,BH46,0.026931885,"-1,BH76_NH3,-1,BH76_CH3,1,BH76_RKT21",0.0
BH76_75,BH46,0.063266025,"-1,BH76_C5H8,1,BH76_RKT22",0.0
DBH24_1,DBH22,0.027394008,"-1,57_h_lower_BH76,-1,67_n2o_BH76,1,68_n2ohts_BH76",0.0
DBH24_2,DBH22,0.028047384,"-1,57_h_lower_BH76,-1,46_hcl_lower_BH76,1,45_hclhts_BH76",0.0
DBH24_3,DBH22,0.010995849,"-1,22_ch3_lower_BH76,-1,29_clf_BH76,1,21_ch3fclts_BH76",0.0
DBH24_7,DBH22,0.022820372,"-1,57_h_lower_BH76,-1,66_n2_BH76,1,59_hn2ts_BH76",0.0
DBH24_8,DBH22,0.002916291,"-1,57_h_lower_BH76,-1,11_c2h4_BH76,1,13_c2h5ts_BH76",0.0
DBH24_9,DBH22,0.07671597,"-1,48_hcn_BH76,1,49_hcnts_BH76",0.0
DBH24_10,DBH22,0.009768776,"-1,75_OH_upper_BH76,-1,25_CH4_BH76,1,81_RKT04_BH76",0.0
DBH24_11,DBH22,0.016971855,"-1,65_H_upper_BH76,-1,75_OH_upper_BH76,1,89_RKT14_BH76",0.0
DBH24_12,DBH22,0.006007877,"-1,65_H_upper_BH76,-1,44_H2S_BH76,1,90_RKT16_BH76",0.0
DBH24_13,DBH22,0.130898417,"-1,74_oh_lower_BH76,-1,66_n2_BH76,1,68_n2ohts_BH76",0.0
DBH24_15,DBH22,0.094548369,"-1,20_ch3f_BH76,-1,30_cl_lower_BH76,1,21_ch3fclts_BH76",0.0
DBH24_19,DBH22,0.017051535,"-1,58_hn2_BH76,1,59_hn2ts_BH76",0.0
DBH24_20,DBH22,0.066740025,"-1,12_c2h5_lower_BH76,1,13_c2h5ts_BH76",0.0
DBH24_21,DBH22,0.052461357,"-1,60_hnc_BH76,1,49_hcnts_BH76",0.0
DBH24_22,DBH22,0.030852123,"-1,43_H2O_BH76,-1,24_CH3_upper_BH76,1,81_RKT04_BH76",0.0
DBH24_23,DBH22,0.020557458,"-1,42_H2_BH76,-1,72_O_BH76,1,89_RKT14_BH76",0.0
DBH24_24,DBH22,0.027234647,"-1,42_H2_BH76,-1,64_HS_BH76,1,90_RKT16_BH76",0.0
