Ns,system,functional,site,rb,Zb,theta,phi/beta,Eb
1,H2 + Cu(111),SRP43,brg,1.03,1.16,90,90,0.628
2,H2 + Cu(100),SRP43,brg,1.23,1.0054,90,90,0.74
3,H2 + Cu(110),optPBE-vdW-DF1,short-brg,1.2,0.89,64,90,0.789
4,H2 + Pt(111),PBEa57-vdW-DF2,top (early),0.769,2.202,90,0,-0.008
5,H2 + Pt(211),PBEa57-vdW-DF2,top,0.75,2.79,90,90,-0.083
6,H2 + Ru(0001),PBE-vdW-DF2,top (early),0.751,2.605,90,0,0.004
7,H2 + Ni(111),PBE-vdW-DF2,top (early),0.763,2.083,90,0,0.024
8,H2 + Ag(111),MS-PBEi+VV10,brg,1.224,1.157,90,0,1.082
9,N2 + Ru(0001),RPBE,brg,1.741,1.318,84,30,1.84
10,N2 + Ru(10-10),experiment,,,,,,0.4
11,CH4 + Ni(111),SRP32-vdW-DF1,top,1.606,2.176,135.7,164.7,1.015
12,CH4 + Ni(100),experiment,,,,,,0.76
13,CH4 + Ni(211),SRP32-vdW-DF1,top,1.632,2.033,126.0,,0.699
14,CH4 + Pt(111),SRP32-vdW-DF1,top,1.56,2.28,133.4,168.3,0.815
15,CH4 + Pt(211),SRP32-vdW-DF1,top,1.53,2.27,133,168,0.559
16,CH4 + Ir(111),SRP32-vdW-DF1,top,,,,,0.836
17,CH4 + Ru(0001),experiment,,,,,,0.8
